company,location,certification,datacenter
TELUS Communications Company,"Kamloops British Columbia, Canada",Tier III Certification of Constructed Facility,TELUS Communications Company
Telx,"Clifton New Jersey, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Telx
Tencent,"Tianjin, China",M&O Stamp Of Approval,Tencent
Tencent,"Chongqing, China",M&O Stamp Of Approval,Tencent
Tencent,"Yangzhou, China",M&O Stamp Of Approval,Tencent
Tencent,"Qingyuan, China",M&O Stamp Of Approval,Tencent
Tencent,"Zhangjiakou, China",M&O Stamp Of Approval,Tencent
Teranet Inc.,"Mississauga Ontario, Canada",Tier III Certification of Design Documents,Teranet Inc.
Teranet Inc.,"Mississauga Ontario, Canada",Tier III Certification of Constructed Facility,Teranet Inc.
Terenine Technology Solutions,"Chattanooga Tennessee, United States",Tier III Certification of Design Documents,Terenine Technology Solutions
Thailand Treasury Department,"Bangkok, Thailand",Tier III Certification of Design Documents,Thailand Treasury Department
Thailand Treasury Department,"Bangkok, Thailand",Tier III Certification of Constructed Facility,Thailand Treasury Department
The Korea Development Bank,"Hanam City Gyeonggi-do , Korea, South",Tier III Certification of Design Documents,The Korea Development Bank
The Mauritius Commercial Bank Ltd,"Pailles, Mauritius",Tier III Certification of Design Documents,The Mauritius Commercial Bank Ltd
The People's Insurance Company (Group) Of China Ltd.,"Langfang, China",Tier IV Certification of Design Documents,The People's Insurance Company (Group) Of China Ltd.
The State Customs Committee of the Republic of Azerbaijan,"Baku, Azerbaijan",Tier III Certification of Design Documents,The State Customs Committee of the Republic of Azerbaijan
Thésée DataCenter,"Aubergenville, France",Tier IV Certification of Design Documents,Thésée DataCenter
TI Sparkle Greece S.A,"Metamorfosis, Athens, Greece",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,TI Sparkle Greece S.A
TIAA Global Infrastructure Services,"Broomfield Colorado, United States",M&O Stamp Of Approval,TIAA Global Infrastructure Services
TIAA Global Infrastructure Services,"Charlotte North Carolina, United States",M&O Stamp Of Approval,TIAA Global Infrastructure Services
Tianjin Chayora Technology Development 1 Limited,"Tianjin, China",Tier III Certification of Design Documents,Tianjin Chayora Technology Development 1 Limited
Tianjin Chayora Technology Development 1 Limited,"Tianjin, China",Tier III Certification of Constructed Facility - ProvisionalTier III Gold Certification of Operational Sustainability,Tianjin Chayora Technology Development 1 Limited
"Tianjin GiantDC Data Technology Co., Ltd","Tianjin, China",M&O Stamp Of Approval,"Tianjin GiantDC Data Technology Co., Ltd"
"Tianjin GiantDC Data Technology Co., Ltd","Tianjin, China",Tier III Certification of Design Documents,"Tianjin GiantDC Data Technology Co., Ltd"
TierPoint,"Allen Texas, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,TierPoint
TierPoint,"Durham North Carolina, United States",Tier III Certification of Constructed Facility,TierPoint
TierPoint,"Durham North Carolina, United States",Tier III Certification of Constructed Facility,TierPoint
Tigo Guatemala,"Fraijanes, Guatemala",Tier III Certification of Design Documents,Tigo Guatemala
Tigo Panamá,"Ciudad del Saber, Panama",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Tigo Panamá
Tissat,"Castellón, Spain",Tier IV Certification of Design Documents,Tissat
TITAN Datacenters France,"Mougins, France",Tier IV Certification of Design Documents,TITAN Datacenters France
Titan Private Security Vault,"Tulsa Oklahoma, United States",Tier II Certification of Design Documents,Titan Private Security Vault
"TIVIT Terceirização de Processos, Serviços e Tecnologia SA","Sao Paulo, Brazil",Tier III Certification of Design Documents,"TIVIT Terceirização de Processos, Serviços e Tecnologia SA"
TOTVS S/A,"Sao Paulo, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,TOTVS S/A
Transfond,"Brasov, Romania",Tier IV Certification of Design Documents,Transfond
Tribunal de Justiça do Estado do Espírito Santo,"Vitória Espirito Santo, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Tribunal de Justiça do Estado do Espírito Santo
True Internet Data Center,"Bang Sao Thong Samut Prakan, Thailand",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,True Internet Data Center
True Internet Data Center,"Bang Sao Thong Samut Prakan, Thailand",Tier III Silver Certification of Operational Sustainability,True Internet Data Center
True Internet Data Center,"Bang Sao Thong, Thailand",Tier III Certification of Design Documents,True Internet Data Center
True Internet Data Center,"Bang Sao Thong, Thailand",Tier III Certification of Constructed Facility,True Internet Data Center
TrustInfo LLC,"Moscow, Russia",Tier III Certification of Design Documents,TrustInfo LLC
"TTC TELEPORT, s.r.o.","Praha, Czech Republic",Tier III Certification of Design Documents,"TTC TELEPORT, s.r.o."
Turk Telekom,"Istanbul, Turkey",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Turk Telekom
Turk Telekom,"Istanbul, Turkey",Tier III Certification of Design Documents,Turk Telekom
Turk Telekom,"Istanbul, Turkey",Tier III Certification of Design Documents,Turk Telekom
Turkcell,"Izmir Menderes, Turkey",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Turkcell
Turkcell,"Ankara, Turkey",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Turkcell
Turkcell,"Tekirdag, Turkey",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Turkcell
Turkcell,"Kocaeli Gebze, Turkey",Tier III Certification of Constructed Facility,Turkcell
Turkcell,"Kocaeli Gebze, Turkey",Tier III Certification of Constructed Facility,Turkcell
Turkcell,"Kocaeli Gebze, Turkey",Tier III Certification of Constructed Facility,Turkcell
Turkcell,"Kocaeli Gebze, Turkey",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Turkcell
Turkcell,"Kocaeli Gebze, Turkey",Tier III Certification of Design Documents,Turkcell
Turkcell,"Kocaeli Gebze, Turkey",Tier III Gold Certification of Operational Sustainability,Turkcell
Turkish Airlines Inc.,"Istanbul, Turkey",Tier III Certification of Design Documents,Turkish Airlines Inc.
Turkiye Finans Katilim Bankasi,"Istanbul, Turkey",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Turkiye Finans Katilim Bankasi
Türkiye İş Bankası AŞ,"Istanbul, Turkey",Tier IV Certification of Design DocumentsTier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,Türkiye İş Bankası AŞ
U.S. Bancorp,"Olathe Kansas, United States",Tier IV Certification of Constructed FacilityTier IV Certification of Design DocumentsTier IV Gold Certification of Operational Sustainability,U.S. Bancorp
U.S. Bank,"Portand Oregon, United States",M&O Stamp Of Approval,U.S. Bank
UAB Duomenu Logistikos Centras,"Vilnius, Lithuania",Tier III Certification of Design Documents,UAB Duomenu Logistikos Centras
UAB Duomenu Logistikos Centras,"Vilnius, Lithuania",Tier III Certification of Constructed Facility,UAB Duomenu Logistikos Centras
UFINET CHILE SpA,"Santiago, Chile",Tier III Certification of Design Documents,UFINET CHILE SpA
UFINET CHILE SpA,"Santiago, Chile",Tier III Certification of Constructed Facility,UFINET CHILE SpA
UIDAI Government of India,"Bengaluru, India",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,UIDAI Government of India
UIDAI Government of India,"Manesar, India",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,UIDAI Government of India
UMass Medical School,"Shrewsbury Massachusetts, United States",M&O Stamp Of Approval,UMass Medical School
Umniah,"Amman, Jordan",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Umniah
UNE EPM Telecomunicaciones,"Bogota Cundianamarca, Colombia",Tier III Certification of Design Documents,UNE EPM Telecomunicaciones
UNE EPM Telecomunicaciones,"Bogota Cundianamarca, Colombia",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,UNE EPM Telecomunicaciones
"Unicaja Banco, S.A.","Ronda, Spain",Tier III Certification of Design Documents,"Unicaja Banco, S.A."
Unifique Telecomunicações,"Timbó , Brazil",Tier III Certification of Design Documents,Unifique Telecomunicações
Unifique Telecomunicações,"Timbó , Brazil",Tier III Certification of Constructed Facility,Unifique Telecomunicações
UniPack,"Tunis, Tunisia",Tier IV Certification of Design Documents,UniPack
UnipolSai Assicurazioni S.p.a.,"Bologna, Italy",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,UnipolSai Assicurazioni S.p.a.
Unitary Enterprise A1,"Minsk, Belarus",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Unitary Enterprise A1
United Arab Emirates Ministry of Finance,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,United Arab Emirates Ministry of Finance
United Information Highway Company Limited,"Bangkok, Thailand",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,United Information Highway Company Limited
United Nations,"Valencia, Spain",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,United Nations
United Nations Global Service Center (UNGSC),"Brindisi Puglia, Italy",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,United Nations Global Service Center (UNGSC)
UnitedHealth Group,"Minneapolis Minnesota, United States",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational SustainabilityTier III Certification of Design Documents,UnitedHealth Group
Universidad Autónoma de Nuevo León,"Ciudad de Mexico, Mexico",Tier III Certification of Design Documents,Universidad Autónoma de Nuevo León
"Universidad Iberoamericana, A.C. (Ibero CDMX)","Mexico City Álvaro Obregón, Mexico",Tier III Certification of Design Documents,"Universidad Iberoamericana, A.C. (Ibero CDMX)"
Universitas Terbuka,"Tangerang Selatan, Indonesia",Tier III Certification of Design Documents,Universitas Terbuka
"University at Albany, State University of New York","Albany New York, United States",Tier III Certification of Design Documents,"University at Albany, State University of New York"
"University at Albany, State University of New York","Albany New York, United States",Tier III Certification of Constructed Facility,"University at Albany, State University of New York"
University of Arkansas Medical Sciences,"Little Rock Arkansas, United States",Tier II Certification of Design Documents,University of Arkansas Medical Sciences
"Urban Data Center Co., Ltd","Phnom Penh, Cambodia",Tier III Certification of Design Documents,"Urban Data Center Co., Ltd"
"Uzbekistan State Institution ""E-Government Project Management Center""","Tashkent, Uzbekistan",Tier III Certification of Design Documents,"Uzbekistan State Institution ""E-Government Project Management Center"""
Vanderbilt University Medical Center,"Nashville  Tennessee, United States",M&O Stamp Of Approval,Vanderbilt University Medical Center
Vantage Data Centers,"Quebec City, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Vantage Data Centers
Vantage Data Centers,"Montreal, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Vantage Data Centers
"Vantage Data Centers WA1, LLC","Quincy Washington, United States",Tier III Certification of Design Documents,"Vantage Data Centers WA1, LLC"
"Vantage Data Centers WA1, LLC","Quincy Washington, United States",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,"Vantage Data Centers WA1, LLC"
VENYU,"Shreveport LA, United States",Tier III Certification of Design Documents,VENYU
VENYU,"Shreveport LA, United States",Tier III Certification of Constructed Facility,VENYU
Verizon Wireless,"Twinsburg Ohio, United States",Tier III Certification of Constructed FacilityTier III Certification of Design DocumentsTier III Silver Certification of Operational Sustainability,Verizon Wireless
Vietnam Posts and Telecommunications Group (VNPT),"Hanoi, Vietnam",Tier III Certification of Design Documents,Vietnam Posts and Telecommunications Group (VNPT)
Viettel Networks Corporation,"Ha Noi, Vietnam",Tier III Certification of Design Documents,Viettel Networks Corporation
Virginia Electric & Power Company,"Richmond Virginia, United States",Tier III Certification of Design Documents,Virginia Electric & Power Company
VIRTUS Data Centres,"London Middlesex, United Kingdom",Tier III Certification of Design Documents,VIRTUS Data Centres
VIRTUS Data Centres,"London, United Kingdom",Tier III Certification of Design Documents,VIRTUS Data Centres
VIRTUS Data Centres,"Slough, United Kingdom",M&O Stamp Of Approval,VIRTUS Data Centres
Visa Inc.,"Ashburn Virginia , United States",M&O Stamp Of Approval,Visa Inc.
Visa Inc.,"Chineham, United Kingdom",M&O Stamp Of Approval,Visa Inc.
Visa Inc.,"Highlands Ranch Colorado, United States",M&O Stamp Of Approval,Visa Inc.
Visa Inc.,"Highlands Ranch Colorado, United States",M&O Stamp Of Approval,Visa Inc.
VIVA Bahrain B.S.C (Closed),"Manama Capital, Bahrain",Tier III Certification of Design Documents,VIVA Bahrain B.S.C (Closed)
VIVO S.A.,"Sao Paulo SP, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,VIVO S.A.
"VNG Data Center Co., Ltd","Ho Chi Minh City, Vietnam",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"VNG Data Center Co., Ltd"
VNPT,"Hanoi, Vietnam",Tier III Certification of Design Documents,VNPT
